id;data_hora;observacao;identificacao_outro_sistema;amostra_no_laboratorio
1;2021-03-25T10:14:17;Saint Helena Pound Cotton;Car;NAO
2;2021-03-26T04:25:37;Sleek Metal Car;generating;NAO
3;2021-03-26T07:21:09;Versatile;Berkshire client-server;NAO
4;2021-03-25T08:46:14;Granite;local;SIM
5;2021-03-26T01:34:05;deposit Group;Incredible Virtual Michigan;NAO
6;2021-03-25T21:12:33;Intelligent Metal Pizza Maldives;Wooden Sports Research;SIM
7;2021-03-25T11:50:41;Kroon Rustic;Cambridgeshire invoice intangible;NAO
8;2021-03-26T07:01:56;Rubber Computer programming;port Accounts;NAO
9;2021-03-25T17:19:01;logistical;red overriding Awesome Cotton Gloves;SIM
10;2021-03-25T22:36:24;HTTP;Integration matrix;NAO
