id;descricao;inicio;fim;quantidade_amostras;observacao
1;Specialist aggregate;2021-03-26T01:44:31;2021-03-25T12:10:31;98369;../fake-data/blob/hipster.txt
2;indigo payment;2021-03-25T15:06:59;2021-03-25T18:41:35;53838;../fake-data/blob/hipster.txt
3;SCSI connecting;2021-03-25T23:02:52;2021-03-25T19:24:06;94467;../fake-data/blob/hipster.txt
4;Fish monetize Ball;2021-03-25T11:38:48;2021-03-25T22:54:56;11341;../fake-data/blob/hipster.txt
5;Table;2021-03-26T01:51:37;2021-03-26T05:45:42;40311;../fake-data/blob/hipster.txt
6;visionary Hat Robust;2021-03-26T04:43:04;2021-03-26T04:03:40;16606;../fake-data/blob/hipster.txt
7;CSS synergies Seamless;2021-03-26T02:27:59;2021-03-26T02:10:02;76379;../fake-data/blob/hipster.txt
8;Brand synthesize;2021-03-25T10:29:23;2021-03-25T18:32:38;90263;../fake-data/blob/hipster.txt
9;Louisiana Bahraini Dinar;2021-03-25T14:42:51;2021-03-26T09:23:09;14263;../fake-data/blob/hipster.txt
10;bluetooth;2021-03-26T07:19:30;2021-03-25T10:08:32;91395;../fake-data/blob/hipster.txt
